Word,Rank,Frequency
good,1,363
quite,2,303
fruit,3,295
wine,4,230
bit,5,217
top,6,215
lovely,7,163
touch,8,160
nose,9,150
nice,10,148
dry,11,142
bare,12,141
rather,13,133
palate,14,115
fine,15,102
rich,16,96
still,17,92
perhaps,18,88
drinking,19,88
long,20,79
finish,21,77
really,22,77
time,23,76
bottle,24,71
balance,25,71
slightly,26,66
seems,27,65
acidity,28,64
nicely,29,63
pleasant,30,63
vintage,31,62
well,32,62
elegant,33,62
one,34,61
complex,35,59
mineral,36,57
length,37,56
like,38,56
drink,39,56
wines,40,55
intense,41,52
pretty,42,50
sweet,43,50
might,44,50
rated,45,49
pure,46,48
balanced,47,47
much,48,46
years,49,46
fresh,50,46
fragrant,51,45
mature,52,45
think,53,44
excellent,54,44
tannins,55,43
needs,56,42
ripe,57,42
drinkable,58,41
old,59,41
first,60,41
less,61,40
probably,62,40
colour,63,38
interesting,64,38
could,65,37
fairly,66,37
two,67,37
even,68,37
way,69,35
although,70,35
little,71,35
better,72,35
soft,73,34
attractive,74,33
simple,75,33
decent,76,33
weight,77,33
yet,78,32
complexity,79,31
style,80,31
forward,81,31
great,82,31
last,83,30
easy,84,30
oak,85,30
classic,86,29
rounded,87,28
lot,88,28
tannic,89,28
delicious,90,28
though,91,28
almost,92,27
creamy,93,26
fruity,94,26
best,95,25
year,96,25
half,97,25
showing,98,25
light,99,24
clean,100,24
young,101,24
minerality,102,24
food,103,24
character,104,24
open,105,24
age,106,24
burgundy,107,23
glass,108,23
possibly,109,23
concentrated,110,23
improve,111,22
big,112,22
scrapes,113,22
concentration,114,22
flavours,115,22
white,116,22
guess,117,21
something,118,21
hard,119,21
champagne,120,21
bright,121,21
odd,122,21
claret,123,21
sort,124,20
would,125,20
texture,126,20
peak,127,20
made,128,20
completely,129,20
floral,130,20
intensity,131,20
oxidised,132,19
end,133,19
yeasty,134,19
stars,135,19
try,136,19
rustic,137,19
without,138,19
lacking,139,19
seem,140,19
feel,141,18
gamy,142,18
opens,143,18
quality,144,18
exotic,145,18
enough,146,18
say,147,18
closed,148,18
another,149,18
modern,150,18
nutty,151,17
least,152,17
refined,153,17
notes,154,17
find,155,17
stuff,156,17
raspberry,157,17
depth,158,17
richness,159,17
baked,160,16
cherry,161,16
structure,162,16
fizz,163,16
richer,164,16
round,165,16
opened,166,16
couple,167,16
moderate,168,15
lacks,169,15
corked,170,15
lots,171,15
structured,172,15
dull,173,15
pleasantly,174,15
together,175,15
pinot,176,15
seemed,177,15
enjoyable,178,15
slight,179,15
red,180,15
given,181,14
may,182,14
evolved,183,14
meaty,184,14
hint,185,14
substantial,186,14
savoury,187,14
classy,188,14
next,189,14
honied,190,14
silky,191,14
strawberry,192,14
towards,193,14
thin,194,14
new,195,14
sure,196,14
ok,197,14
apples,198,14
deep,199,14
past,200,13
stylish,201,13
going,202,13
edge,203,13
get,204,13
austere,205,13
tight,206,13
hints,207,13
clearly,208,13
thing,209,13
real,210,13
later,211,13
maybe,212,13
fantastic,213,12
taste,214,12
underlying,215,12
botrytis,216,12
evident,217,12
thought,218,12
dense,219,12
medium,220,12
riesling,221,12
piquant,222,12
smoky,223,12
blend,224,12
lighter,225,12
bottles,226,12
day,227,11
chocolate,228,11
cassis,229,11
come,230,11
green,231,11
flat,232,11
others,233,11
special,234,11
often,235,11
short,236,11
warm,237,11
fruits,238,11
hope,239,11
evening,240,11
sweetness,241,11
ago,242,11
lightweight,243,11
maturity,244,11
coarse,245,11
beginning,246,11
weighty,247,11
peachy,248,11
class,249,10
vineyard,250,10
oxidation,251,10
suspect,252,10
honey,253,10
succulent,254,10
tending,255,10
tarry,256,10
bad,257,10
splendid,258,10
appetising,259,10
delicate,260,10
however,261,10
volatility,262,10
serious,263,10
bitterness,264,10
right,265,10
whether,266,10
particularly,267,10
tasted,268,10
opening,269,10
disappointing,270,10
also,271,10
previous,272,9
vegetal,273,9
impressive,274,9
keen,275,9
resolved,276,9
difficult,277,9
mouthfilling,278,9
mouth,279,9
worth,280,9
fat,281,9
always,282,9
characterful,283,9
star,284,9
suave,285,9
producer,286,9
flabby,287,9
charming,288,9
recent,289,9
need,290,9
back,291,9
leafy,292,9
want,293,9
indeed,294,9
vanilla,295,9
vintages,296,9
drunk,297,9
air,298,8
extra,299,8
tobacco,300,8
point,301,8
restrained,302,8
compared,303,8
recently,304,8
woody,305,8
herby,306,8
citric,307,8
grassy,308,8
alcohol,309,8
liquorice,310,8
dilute,311,8
vinous,312,8
village,313,8
returning,314,8
hot,315,8
grapes,316,8
different,317,8
reserved,318,8
initially,319,8
chardonnay,320,8
cork,321,8
vibrant,322,8
see,323,8
rate,324,8
label,325,8
sign,326,7
huge,327,7
strong,328,7
solid,329,7
property,330,7
bitter,331,7
soon,332,7
actually,333,7
