b'Name of the Restaurants',Country code,City,Day of week,Start time hour,Start time minute,End time hour,End time minute
b'1 Abercrombie Lane',AU,Sydney,0,7,30,15,30
b'1 Abercrombie Lane',AU,Sydney,1,7,30,15,30
b'1 Abercrombie Lane',AU,Sydney,2,7,30,15,30
b'1 Abercrombie Lane',AU,Sydney,3,7,30,15,30
b'1 Abercrombie Lane',AU,Sydney,4,7,30,15,30
b'#1 Chicken Rice & Seafood',US,Houston,0,10,30,20,30
b'#1 Chicken Rice & Seafood',US,Houston,1,10,30,20,30
b'#1 Chicken Rice & Seafood',US,Houston,2,10,30,20,30
b'#1 Chicken Rice & Seafood',US,Houston,3,10,30,20,30
b'#1 Chicken Rice & Seafood',US,Houston,4,10,30,20,30
b'#1 Chicken Rice & Seafood',US,Houston,5,10,30,20,0
b'#1 Chinese Kitchen',US,San Jose,0,11,0,21,0
b'#1 Chinese Kitchen',US,San Jose,2,11,0,21,0
b'#1 Chinese Kitchen',US,San Jose,3,11,0,21,0
b'#1 Chinese Kitchen',US,San Jose,4,11,0,21,0
b'#1 Chinese Kitchen',US,San Jose,5,11,0,21,0
b'#1 Chinese Kitchen',US,San Jose,6,11,0,21,0
"b""10' Custom Pizzeria""",AU,Braddon,0,11,30,15,0
"b""10' Custom Pizzeria""",AU,Braddon,0,17,30,0,0
"b""10' Custom Pizzeria""",AU,Braddon,1,11,30,15,0
"b""10' Custom Pizzeria""",AU,Braddon,1,17,30,0,0
"b""10' Custom Pizzeria""",AU,Braddon,2,11,30,15,0
"b""10' Custom Pizzeria""",AU,Braddon,2,17,30,0,0
"b""10' Custom Pizzeria""",AU,Braddon,3,11,30,15,0
"b""10' Custom Pizzeria""",AU,Braddon,3,17,30,0,0
"b""10' Custom Pizzeria""",AU,Braddon,4,11,30,15,0
"b""10' Custom Pizzeria""",AU,Braddon,4,17,30,0,0
"b""10' Custom Pizzeria""",AU,Braddon,5,11,30,15,0
