city,contin_raindays,frequency
Boston,8,2
Boston,7,1
Boston,6,5
Boston,5,8
Boston,4,18
Boston,3,36
Boston,2,97
Boston,1,176
Duluth,7,1
Duluth,5,6
Duluth,4,22
Duluth,3,31
Duluth,2,64
Duluth,1,148
New_York,10,1
New_York,7,1
New_York,6,2
New_York,5,5
New_York,4,10
New_York,3,39
New_York,2,85
New_York,1,172
Orlando,10,1
Orlando,9,4
Orlando,8,2
Orlando,7,3
Orlando,6,6
Orlando,5,13
Orlando,4,16
Orlando,3,37
Orlando,2,67
Orlando,1,159
San_Francisco,11,1
San_Francisco,8,1
San_Francisco,7,1
San_Francisco,6,2
San_Francisco,5,5
San_Francisco,4,4
San_Francisco,3,19
San_Francisco,2,47
San_Francisco,1,67
