coolingdegreedays,monthtodateheatingdegreedays,since1jancoolingdegreedays,year,snowdepthi,meanwindspdi,maxtempm,since1julsnowfallm,mon,minpressurem,meanpressurei,maxdewptm,since1sepcoolingdegreedays,snowfalli,minwspdi,heatingdegreedaysnormal,since1sepcoolingdegreedaysnormal,meantempm,minvisi,since1jancoolingdegreedaysnormal,precipsource,gdegreedays,since1julheatingdegreedays,meanwindspdm,thunder,meandewpti,since1sepheatingdegreedays,maxvism,maxvisi,monthtodatecoolingdegreedays,mindewpti,since1julheatingdegreedaysnormal,meantempi,maxpressurem,maxhumidity,date,meanwdird,meandewptm,coolingdegreedaysnormal,maxpressurei,monthtodateheatingdegreedaysnormal,maxwspdm,meanvisi,meanwdire,humidity,monthtodatesnowfalli,min,hail,mintempm,heatingdegreedays,precipm,tzname,since1julsnowfalli,hour,precipi,since1sepheatingdegreedaysnormal,mday,meanpressurem,minhumidity,minwspdm,minvism,meanvism,minpressurei,snowfallm,monthtodatesnowfallm,rain,snowdepthm,maxwspdi,monthtodatecoolingdegreedaysnormal,pretty,mindewptm,fog,maxdewpti,maxtempi,snow,tornado,mintempi
0,22,9,2012,,7,11,23.62,04,1003,29.76,4,,0.00,0,22,,6,4,0,,0,3826,12,0,34,,16,10,0,30,4893,43,1012,93,"{'tzname': 'America/New_York', 'mday': '01', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM EDT on April 01, 2012'}",195,1,0,29.90,22,27,8,,,0.00,00,0,1,22,4.83,America/New_York,9.30,12,0.19,,01,1008,53,0,6,13,29.63,0.00,0.00,1,,17,0,"12:00 PM EDT on April 01, 2012",-1,0,39,51,0,0,34
0,41,9,2012,,13,12,23.62,04,1002,29.66,4,,0.00,0,22,,8,4,0,,0,3845,20,0,32,,16,10,0,9,4915,46,1009,93,"{'tzname': 'America/New_York', 'mday': '02', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM EDT on April 02, 2012'}",349,0,0,29.80,44,40,9,,,0.00,00,0,4,19,1.27,America/New_York,9.30,12,0.05,,02,1004,21,0,6,15,29.58,0.00,0.00,1,,25,0,"12:00 PM EDT on April 02, 2012",-13,0,39,53,0,0,39
0,58,9,2012,,13,15,23.62,04,1006,29.77,-10,,0.00,5,21,,9,10,0,,0,3862,20,0,10,,16,10,0,7,4936,48,1010,35,"{'tzname': 'America/New_York', 'mday': '03', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM EDT on April 03, 2012'}",325,-12,0,29.83,65,37,10,,,0.00,00,0,2,17,0.00,America/New_York,9.30,12,0.00,,03,1008,14,8,16,16,29.70,0.00,0.00,0,,23,0,"12:00 PM EDT on April 03, 2012",-14,0,14,59,0,0,36
0,69,9,2012,,12,18,23.62,04,997,29.58,1,,0.00,0,21,,12,10,0,,4,3873,19,0,20,,16,10,0,11,4957,54,1006,60,"{'tzname': 'America/New_York', 'mday': '04', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM EDT on April 04, 2012'}",307,-7,0,29.71,86,47,10,,,0.00,00,0,6,11,T,America/New_York,9.30,12,T,,04,1002,16,0,16,16,29.45,0.00,0.00,0,,29,0,"12:00 PM EDT on April 04, 2012",-12,0,33,64,0,0,43
0,88,9,2012,0.00,13,11,23.62,04,1004,29.77,0,,0.00,9,21,,8,10,0,,0,3892,20,0,24,,16,10,0,19,4978,46,1012,67,"{'tzname': 'America/New_York', 'mday': '05', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM EDT on April 05, 2012'}",320,-4,0,29.89,107,35,10,,,0.00,00,0,4,19,0.00,America/New_York,9.30,12,0.00,,05,1008,30,14,16,16,29.65,0.00,0.00,0,0.00,22,0,"12:00 PM EDT on April 05, 2012",-7,0,32,52,0,0,40
0,108,9,2012,0.00,11,12,23.62,04,1012,29.92,-6,,0.00,6,20,,7,10,0,,0,3912,17,0,19,,16,10,0,15,4998,45,1015,52,"{'tzname': 'America/New_York', 'mday': '06', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM EDT on April 06, 2012'}",317,-7,0,29.98,127,29,10,,,0.00,00,0,3,20,0.00,America/New_York,9.30,12,0.00,,06,1013,24,10,16,16,29.88,0.00,0.00,0,0.00,18,0,"12:00 PM EDT on April 06, 2012",-9,0,21,53,0,0,37
0,128,9,2012,0.00,8,11,23.62,04,1013,29.97,-2,,0.00,0,20,,7,10,0,,0,3932,13,0,21,,16,10,0,15,5018,45,1016,57,"{'tzname': 'America/New_York', 'mday': '07', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM EDT on April 07, 2012'}",13,-6,0,30.02,147,29,10,,,0.00,00,0,3,20,0.00,America/New_York,9.30,12,0.00,,07,1015,26,0,16,16,29.93,0.00,0.00,0,0.00,18,0,"12:00 PM EDT on April 07, 2012",-9,0,28,52,0,0,38
0,147,9,2012,0.00,10,10,23.62,04,1002,29.76,2,,0.00,0,20,,8,10,0,,0,3951,15,0,26,,16,10,0,19,5038,46,1015,70,"{'tzname': 'America/New_York', 'mday': '08', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM EDT on April 08, 2012'}",290,-3,0,29.97,167,34,10,,,0.00,00,0,5,19,T,America/New_York,9.30,12,T,,08,1008,31,0,16,16,29.60,0.00,0.00,0,0.00,21,0,"12:00 PM EDT on April 08, 2012",-7,0,36,50,0,0,41
0,161,9,2012,,17,14,23.62,04,999,29.54,1,,0.00,6,19,,11,10,0,,0,3965,27,0,29,,16,10,0,26,5057,51,1003,70,"{'tzname': 'America/New_York', 'mday': '09', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM EDT on April 09, 2012'}",260,-2,0,29.63,186,47,10,,,0.00,00,0,6,14,0.00,America/New_York,9.30,12,0.00,,09,1000,33,10,16,16,29.49,0.00,0.00,0,,29,0,"12:00 PM EDT on April 09, 2012",-3,0,33,58,0,0,43
0,173,9,2012,0.00,10,17,23.62,04,1002,29.63,-1,,0.00,0,19,,12,10,0,,3,3977,17,0,24,,16,10,0,20,5076,53,1007,45,"{'tzname': 'America/New_York', 'mday': '10', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM EDT on April 10, 2012'}",265,-4,0,29.75,205,40,10,,,0.00,00,0,6,12,0.00,America/New_York,9.30,12,0.00,,10,1003,19,0,16,16,29.59,0.00,0.00,0,0.00,25,0,"12:00 PM EDT on April 10, 2012",-7,0,30,63,0,0,43
