coolingdegreedays,monthtodateheatingdegreedays,since1jancoolingdegreedays,year,snowdepthi,meanwindspdi,maxtempm,since1julsnowfallm,mon,minpressurem,meanpressurei,maxdewptm,since1sepcoolingdegreedays,snowfalli,minwspdi,heatingdegreedaysnormal,since1sepcoolingdegreedaysnormal,meantempm,minvisi,since1jancoolingdegreedaysnormal,precipsource,gdegreedays,since1julheatingdegreedays,meanwindspdm,thunder,meandewpti,since1sepheatingdegreedays,maxvism,maxvisi,monthtodatecoolingdegreedays,mindewpti,since1julheatingdegreedaysnormal,meantempi,maxpressurem,maxhumidity,date,meanwdird,meandewptm,coolingdegreedaysnormal,maxpressurei,monthtodateheatingdegreedaysnormal,maxwspdm,meanvisi,meanwdire,humidity,monthtodatesnowfalli,min,hail,mintempm,heatingdegreedays,precipm,tzname,since1julsnowfalli,hour,precipi,since1sepheatingdegreedaysnormal,mday,meanpressurem,minhumidity,minwspdm,minvism,meanvism,minpressurei,snowfallm,monthtodatesnowfallm,rain,snowdepthm,maxwspdi,monthtodatecoolingdegreedaysnormal,pretty,mindewptm,fog,maxdewpti,maxtempi,snow,tornado,mintempi
0,,,2012,,3,9,,04,1006,29.73,6,,0.00,0,,,7,0,,,0,,5,0,38,,16,10,,36,,44,1008,87,"{'tzname': 'America/Chicago', 'mday': '01', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM CDT on April 01, 2012'}",79,3,,29.77,,32,5,,,,00,0,4,20,0.76,America/Chicago,,12,0.03,,01,1007,71,0,0,8,29.70,0.00,,1,,20,,"12:00 PM CDT on April 01, 2012",2,1,43,48,0,0,39
0,,,2012,,15,8,,04,1009,29.86,2,,0.00,4,,,4,5,,,0,,24,1,32,,16,10,,30,,40,1013,87,"{'tzname': 'America/Chicago', 'mday': '02', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM CDT on April 02, 2012'}",55,0,,29.91,,37,10,,,,00,0,2,24,1.78,America/Chicago,,12,0.07,,02,1011,61,6,8,16,29.80,0.00,,1,,23,,"12:00 PM CDT on April 02, 2012",-1,0,36,46,0,0,35
0,,,2012,,4,16,,04,1012,30.02,3,,0.00,0,,,10,10,,,0,,6,1,30,,16,10,,19,,50,1019,81,"{'tzname': 'America/Chicago', 'mday': '03', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM CDT on April 03, 2012'}",348,-1,,30.09,,21,10,,,,00,0,4,16,0.00,America/Chicago,,12,0.00,,03,1016,27,0,16,16,29.90,0.00,,0,,13,,"12:00 PM CDT on April 03, 2012",-7,0,37,60,0,0,39
0,,,2012,,6,11,,04,1017,30.07,-3,,0.00,0,,,6,10,,,0,,10,0,23,,16,10,,19,,42,1020,65,"{'tzname': 'America/Chicago', 'mday': '04', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM CDT on April 04, 2012'}",53,-5,,30.13,,21,10,,,,00,0,1,23,0.00,America/Chicago,,12,0.00,,04,1018,35,0,16,16,30.03,0.00,,0,,13,,"12:00 PM CDT on April 04, 2012",-7,0,27,51,0,0,33
0,,,2012,,8,6,,04,1020,30.19,0,,0.00,4,,,2,10,,,0,,13,0,23,,16,10,,16,,35,1024,86,"{'tzname': 'America/Chicago', 'mday': '05', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM CDT on April 05, 2012'}",65,-5,,30.24,,26,10,,,,00,0,-2,30,0.00,America/Chicago,,12,0.00,,05,1022,39,6,16,16,30.11,0.00,,0,,16,,"12:00 PM CDT on April 05, 2012",-9,0,32,42,0,0,28
0,,,2012,,5,11,,04,1020,30.22,0,,0.00,0,,,3,10,,,0,,8,0,23,,16,10,,16,,37,1026,87,"{'tzname': 'America/Chicago', 'mday': '06', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM CDT on April 06, 2012'}",61,-5,,30.29,,19,10,,,,00,0,-5,28,0.00,America/Chicago,,12,0.00,,06,1023,43,0,16,16,30.13,0.00,,0,,12,,"12:00 PM CDT on April 06, 2012",-9,0,32,51,0,0,23
0,,,2012,,5,12,,04,1014,30.03,4,,0.00,0,,,6,3,,,0,,8,0,29,,16,10,,19,,42,1021,81,"{'tzname': 'America/Chicago', 'mday': '07', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM CDT on April 07, 2012'}",73,-2,,30.14,,13,9,,,,00,0,-1,24,7.37,America/Chicago,,12,0.29,,07,1017,44,0,5,15,29.94,0.00,,1,,8,,"12:00 PM CDT on April 07, 2012",-7,0,39,53,0,0,30
0,,,2012,,9,12,,04,1014,30.00,-1,,0.00,0,,,4,10,,,0,,14,0,22,,16,10,,19,,40,1017,75,"{'tzname': 'America/Chicago', 'mday': '08', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM CDT on April 08, 2012'}",257,-6,,30.05,,34,10,,,,00,0,-2,24,0.00,America/Chicago,,12,0.00,,08,1016,28,0,16,16,29.94,0.00,,0,,21,,"12:00 PM CDT on April 08, 2012",-7,0,30,53,0,0,28
0,,,2012,,8,3,,04,1013,30.01,-6,,0.00,4,,,0,10,,,0,,13,0,15,,16,10,,10,,32,1019,64,"{'tzname': 'America/Chicago', 'mday': '09', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM CDT on April 09, 2012'}",294,-9,,30.09,,23,10,,,,00,0,-3,34,0.00,America/Chicago,,12,0.00,,09,1016,38,6,16,16,29.92,0.00,,0,,14,,"12:00 PM CDT on April 09, 2012",-12,0,21,37,0,0,26
0,,,2012,,7,4,,04,1018,30.14,-9,,0.00,0,,,-1,10,,,0,,11,0,14,,16,10,,10,,31,1023,64,"{'tzname': 'America/Chicago', 'mday': '10', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM CDT on April 10, 2012'}",313,-10,,30.22,,21,10,,,,00,0,-5,34,0.00,America/Chicago,,12,0.00,,10,1021,36,0,16,16,30.07,0.00,,0,,13,,"12:00 PM CDT on April 10, 2012",-12,0,16,39,0,0,23
