coolingdegreedays,monthtodateheatingdegreedays,since1jancoolingdegreedays,year,snowdepthi,meanwindspdi,maxtempm,since1julsnowfallm,mon,minpressurem,meanpressurei,maxdewptm,since1sepcoolingdegreedays,snowfalli,minwspdi,heatingdegreedaysnormal,since1sepcoolingdegreedaysnormal,meantempm,minvisi,since1jancoolingdegreedaysnormal,precipsource,gdegreedays,since1julheatingdegreedays,meanwindspdm,thunder,meandewpti,since1sepheatingdegreedays,maxvism,maxvisi,monthtodatecoolingdegreedays,mindewpti,since1julheatingdegreedaysnormal,meantempi,maxpressurem,maxhumidity,date,meanwdird,meandewptm,coolingdegreedaysnormal,maxpressurei,monthtodateheatingdegreedaysnormal,maxwspdm,meanvisi,meanwdire,humidity,monthtodatesnowfalli,min,hail,mintempm,heatingdegreedays,precipm,tzname,since1julsnowfalli,hour,precipi,since1sepheatingdegreedaysnormal,mday,meanpressurem,minhumidity,minwspdm,minvism,meanvism,minpressurei,snowfallm,monthtodatesnowfallm,rain,snowdepthm,maxwspdi,monthtodatecoolingdegreedaysnormal,pretty,mindewptm,fog,maxdewpti,maxtempi,snow,tornado,mintempi
0,18,4,2012,0.00,3,11,18.80,04,1003,29.77,8,,0.00,0,17,,8,2,1,,0,3322,4,0,40,,16,10,0,35,4239,47,1013,100,"{'tzname': 'America/New_York', 'mday': '01', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM EDT on April 01, 2012'}",246,4,0,29.91,17,19,8,,,0.00,00,0,6,18,12.95,America/New_York,7.40,12,0.51,,01,1008,59,0,2,12,29.62,0.00,0.00,1,0.00,12,0,"12:00 PM EDT on April 01, 2012",2,0,46,52,0,0,42
0,34,4,2012,0.00,8,14,18.80,04,1002,29.71,8,,0.00,0,17,,9,2,1,,0,3338,13,0,32,,16,10,0,14,4256,49,1012,93,"{'tzname': 'America/New_York', 'mday': '02', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM EDT on April 02, 2012'}",344,0,0,29.88,34,27,9,,,0.00,00,0,4,16,1.02,America/New_York,7.40,12,0.04,,02,1006,22,0,3,14,29.60,0.00,0.00,1,0.00,17,0,"12:00 PM EDT on April 02, 2012",-10,0,46,57,0,0,40
0,47,4,2012,0.00,6,18,18.80,04,1008,29.85,-6,,0.00,0,17,,11,10,1,,1,3351,9,0,16,,16,10,0,12,4273,52,1014,45,"{'tzname': 'America/New_York', 'mday': '03', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM EDT on April 03, 2012'}",290,-9,0,29.94,51,24,10,,,0.00,00,0,4,13,0.00,America/New_York,7.40,12,0.00,,03,1011,14,0,16,16,29.76,0.00,0.00,0,0.00,15,0,"12:00 PM EDT on April 03, 2012",-11,0,21,64,0,0,40
0,54,4,2012,0.00,6,20,18.80,04,1000,29.65,-1,,0.00,0,16,,14,10,1,,8,3358,9,0,21,,16,10,0,13,4289,58,1008,41,"{'tzname': 'America/New_York', 'mday': '04', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM EDT on April 04, 2012'}",298,-6,0,29.77,67,27,10,,,0.00,00,0,8,7,0.00,America/New_York,7.40,12,0.00,,04,1004,17,0,16,16,29.52,0.00,0.00,0,0.00,17,0,"12:00 PM EDT on April 04, 2012",-11,0,30,68,0,0,47
0,69,4,2012,0.00,5,14,18.80,04,1007,29.82,-2,,0.00,0,16,,10,10,1,,0,3373,8,0,25,,16,10,0,23,4305,50,1014,53,"{'tzname': 'America/New_York', 'mday': '05', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM EDT on April 05, 2012'}",307,-4,0,29.94,83,24,10,,,0.00,00,0,6,15,0.00,America/New_York,7.40,12,0.00,,05,1010,28,0,16,16,29.75,0.00,0.00,0,0.00,15,0,"12:00 PM EDT on April 05, 2012",-5,0,28,58,0,0,42
0,85,4,2012,0.00,7,15,18.80,04,1012,29.96,-4,,0.00,0,16,,9,10,1,,0,3389,11,0,21,,16,10,0,18,4321,49,1017,54,"{'tzname': 'America/New_York', 'mday': '06', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM EDT on April 06, 2012'}",356,-6,0,30.04,99,24,10,,,0.00,00,0,3,16,0.00,America/New_York,7.40,12,0.00,,06,1014,21,0,16,16,29.88,0.00,0.00,0,0.00,15,0,"12:00 PM EDT on April 06, 2012",-8,0,25,59,0,0,38
0,99,4,2012,0.00,6,16,18.80,04,1014,30.02,-6,,0.00,0,15,,11,10,1,,0,3403,9,0,18,,16,10,0,12,4336,51,1019,39,"{'tzname': 'America/New_York', 'mday': '07', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM EDT on April 07, 2012'}",324,-8,0,30.08,114,26,10,,,0.00,00,0,4,14,0.00,America/New_York,7.40,12,0.00,,07,1016,15,0,16,16,29.94,0.00,0.00,0,0.00,16,0,"12:00 PM EDT on April 07, 2012",-11,0,21,61,0,0,40
0,108,4,2012,0.00,8,19,18.80,04,1004,29.81,-1,,0.00,0,15,,13,10,1,,6,3412,13,0,20,,16,10,0,17,4351,56,1016,37,"{'tzname': 'America/New_York', 'mday': '08', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM EDT on April 08, 2012'}",279,-7,0,30.01,129,27,10,,,0.00,00,0,7,9,0.00,America/New_York,7.40,12,0.00,,08,1009,15,0,16,16,29.65,0.00,0.00,0,0.00,17,0,"12:00 PM EDT on April 08, 2012",-8,0,31,67,0,0,44
0,116,4,2012,0.00,11,18,18.80,04,1003,29.67,-1,,0.00,0,14,,14,10,1,,5,3420,18,0,22,,16,10,0,17,4365,57,1007,44,"{'tzname': 'America/New_York', 'mday': '09', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM EDT on April 09, 2012'}",277,-6,0,29.74,143,37,10,,,0.00,00,0,9,8,0.00,America/New_York,7.40,12,0.00,,09,1005,17,0,16,16,29.61,0.00,0.00,0,0.00,23,0,"12:00 PM EDT on April 09, 2012",-8,0,31,64,0,0,49
0,128,4,2012,0.00,6,16,18.80,04,1004,29.71,2,,0.00,0,14,,12,10,1,,4,3432,9,0,30,,16,10,0,24,4379,53,1009,61,"{'tzname': 'America/New_York', 'mday': '10', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM EDT on April 10, 2012'}",267,-1,0,29.80,157,26,10,,,0.00,00,0,7,12,T,America/New_York,7.40,12,T,,10,1006,26,0,16,16,29.66,0.00,0.00,0,0.00,16,0,"12:00 PM EDT on April 10, 2012",-4,0,36,60,0,0,45
0,145,4,2012,0.00,5,12,18.80,04,1008,29.83,1,,0.00,0,14,,9,10,1,,0,3449,8,0,30,,16,10,0,24,4393,48,1012,70,"{'tzname': 'America/New_York', 'mday': '11', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM EDT on April 11, 2012'}",331,-1,0,29.90,171,19,10,,,0.00,00,0,6,17,T,America/New_York,7.40,12,T,,11,1010,35,0,16,16,29.78,0.00,0.00,1,0.00,12,0,"12:00 PM EDT on April 11, 2012",-4,0,34,53,0,0,43
0,158,4,2012,0.00,5,16,18.80,04,1013,30.00,1,,0.00,0,13,,11,10,1,,1,3462,8,0,32,,16,10,0,27,4406,52,1020,70,"{'tzname': 'America/New_York', 'mday': '12', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM EDT on April 12, 2012'}",328,0,0,30.12,184,21,10,,,0.00,00,0,6,13,0.00,America/New_York,7.40,12,0.00,,12,1016,30,0,16,16,29.91,0.00,0.00,0,0.00,13,0,"12:00 PM EDT on April 12, 2012",-3,0,34,61,0,0,43
0,169,4,2012,0.00,3,18,18.80,04,1020,30.15,0,,0.00,0,13,,12,10,1,,4,3473,5,0,28,,16,10,0,23,4419,54,1023,58,"{'tzname': 'America/New_York', 'mday': '13', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM EDT on April 13, 2012'}",294,-2,0,30.22,197,19,10,,,0.00,00,0,6,11,0.00,America/New_York,7.40,12,0.00,,13,1021,21,0,16,16,30.11,0.00,0.00,0,0.00,12,0,"12:00 PM EDT on April 13, 2012",-5,0,32,65,0,0,43
0,173,4,2012,0.00,3,22,18.80,04,1016,30.12,4,,0.00,0,13,,16,9,1,,10,3477,5,0,31,,16,10,0,26,4432,61,1023,42,"{'tzname': 'America/New_York', 'mday': '14', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM EDT on April 14, 2012'}",256,-1,0,30.21,210,13,10,,,0.00,00,0,10,4,T,America/New_York,7.40,12,T,,14,1020,19,0,14,16,30.01,0.00,0.00,1,0.00,8,0,"12:00 PM EDT on April 14, 2012",-3,0,40,72,0,0,50
3,173,7,2012,0.00,4,25,18.80,04,1014,30.00,13,,0.00,0,12,,20,9,1,,16,3477,6,0,51,,16,10,3,38,4444,68,1017,69,"{'tzname': 'America/New_York', 'mday': '15', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM EDT on April 15, 2012'}",261,11,0,30.03,222,24,10,,,0.00,00,0,14,0,T,America/New_York,7.40,12,T,,15,1016,37,0,14,16,29.96,0.00,0.00,1,0.00,15,0,"12:00 PM EDT on April 15, 2012",3,0,56,77,0,0,58
