coolingdegreedays,monthtodateheatingdegreedays,since1jancoolingdegreedays,year,snowdepthi,meanwindspdi,maxtempm,since1julsnowfallm,mon,minpressurem,meanpressurei,maxdewptm,since1sepcoolingdegreedays,snowfalli,minwspdi,heatingdegreedaysnormal,since1sepcoolingdegreedaysnormal,meantempm,minvisi,since1jancoolingdegreedaysnormal,precipsource,gdegreedays,since1julheatingdegreedays,meanwindspdm,thunder,meandewpti,since1sepheatingdegreedays,maxvism,maxvisi,monthtodatecoolingdegreedays,mindewpti,since1julheatingdegreedaysnormal,meantempi,maxpressurem,maxhumidity,date,meanwdird,meandewptm,coolingdegreedaysnormal,maxpressurei,monthtodateheatingdegreedaysnormal,maxwspdm,meanvisi,meanwdire,humidity,monthtodatesnowfalli,min,hail,mintempm,heatingdegreedays,precipm,tzname,since1julsnowfalli,hour,precipi,since1sepheatingdegreedaysnormal,mday,meanpressurem,minhumidity,minwspdm,minvism,meanvism,minpressurei,snowfallm,monthtodatesnowfallm,rain,snowdepthm,maxwspdi,monthtodatecoolingdegreedaysnormal,pretty,mindewptm,fog,maxdewpti,maxtempi,snow,tornado,mintempi
12,,,2012,,7,31,,04,1011,29.92,18,,0.00,0,,,24,10,,,26,,11,0,62,,16,10,,50,,76,1014,93,"{'tzname': 'America/New_York', 'mday': '01', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM EDT on April 01, 2012'}",288,17,,29.96,,16,10,,,,00,0,19,0,0.00,America/New_York,,12,0.00,,01,1013,28,0,16,16,29.86,0.00,,0,,10,,"12:00 PM EDT on April 01, 2012",10,0,65,88,0,0,66
14,,,2012,,8,32,,04,1011,29.90,19,,0.00,0,,,26,7,,,29,,13,0,63,,16,10,,53,,79,1014,90,"{'tzname': 'America/New_York', 'mday': '02', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM EDT on April 02, 2012'}",296,17,,29.95,,21,10,,,,00,0,21,0,0.00,America/New_York,,12,0.00,,02,1012,29,0,11,16,29.86,0.00,,0,,13,,"12:00 PM EDT on April 02, 2012",12,0,67,90,0,0,69
15,,,2012,,5,33,,04,1012,29.95,19,,0.00,0,,,27,10,,,30,,8,0,60,,16,10,,47,,80,1016,90,"{'tzname': 'America/New_York', 'mday': '03', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM EDT on April 03, 2012'}",264,16,,30.00,,13,10,,,,00,0,21,0,0.00,America/New_York,,12,0.00,,03,1014,24,0,16,16,29.90,0.00,,0,,8,,"12:00 PM EDT on April 03, 2012",8,0,67,91,0,0,69
15,,,2012,,5,33,,04,1009,29.90,19,,0.00,0,,,27,10,,,30,,8,0,58,,16,10,,48,,80,1015,84,"{'tzname': 'America/New_York', 'mday': '04', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM EDT on April 04, 2012'}",261,14,,29.99,,21,10,,,,00,0,21,0,0.00,America/New_York,,12,0.00,,04,1012,25,0,16,16,29.81,0.00,,0,,13,,"12:00 PM EDT on April 04, 2012",9,0,66,91,0,0,69
14,,,2012,,9,32,,04,1007,29.81,19,,0.00,0,,,26,10,,,28,,14,0,63,,16,10,,59,,78,1011,81,"{'tzname': 'America/New_York', 'mday': '05', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM EDT on April 05, 2012'}",240,17,,29.87,,32,10,,,,00,0,21,0,0.00,America/New_York,,12,0.00,,05,1009,39,0,16,16,29.75,0.00,,0,,20,,"12:00 PM EDT on April 05, 2012",15,0,67,89,0,0,70
10,,,2012,,11,31,,04,1007,29.84,19,,0.00,5,,,24,3,,,25,,18,0,61,,16,10,,42,,75,1016,87,"{'tzname': 'America/New_York', 'mday': '06', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM EDT on April 06, 2012'}",295,16,,30.01,,35,10,,,,00,0,19,0,1.78,America/New_York,,12,0.07,,06,1010,22,8,5,16,29.75,0.00,,1,,22,,"12:00 PM EDT on April 06, 2012",6,0,67,87,0,0,66
6,,,2012,,11,27,,04,1016,30.12,13,,0.00,6,,,21,10,,,20,,18,0,52,,16,10,,49,,70,1023,73,"{'tzname': 'America/New_York', 'mday': '07', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM EDT on April 07, 2012'}",41,11,,30.20,,29,10,,,,00,0,17,0,0.00,America/New_York,,12,0.00,,07,1020,36,10,16,16,30.01,0.00,,0,,18,,"12:00 PM EDT on April 07, 2012",9,0,55,80,0,0,63
6,,,2012,,5,28,,04,1019,30.16,13,,0.00,0,,,22,10,,,21,,8,0,51,,16,10,,48,,71,1024,78,"{'tzname': 'America/New_York', 'mday': '08', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM EDT on April 08, 2012'}",77,11,,30.23,,23,10,,,,00,0,17,0,0.00,America/New_York,,12,0.00,,08,1021,32,0,16,16,30.10,0.00,,0,,14,,"12:00 PM EDT on April 08, 2012",9,0,55,82,0,0,62
7,,,2012,,2,29,,04,1016,30.08,14,,0.00,0,,,22,9,,,22,,3,0,54,,16,10,,49,,72,1021,86,"{'tzname': 'America/New_York', 'mday': '09', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM EDT on April 09, 2012'}",192,12,,30.14,,14,10,,,,00,0,16,0,0.00,America/New_York,,12,0.00,,09,1019,29,0,14,16,30.01,0.00,,0,,9,,"12:00 PM EDT on April 09, 2012",9,0,58,84,0,0,60
10,,,2012,,4,30,,04,1015,30.05,16,,0.00,0,,,24,10,,,25,,6,0,56,,16,10,,49,,75,1020,84,"{'tzname': 'America/New_York', 'mday': '10', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM EDT on April 10, 2012'}",199,13,,30.11,,16,10,,,,00,0,18,0,0.00,America/New_York,,12,0.00,,10,1017,28,0,16,16,29.97,0.00,,0,,10,,"12:00 PM EDT on April 10, 2012",9,0,60,86,0,0,64
