coolingdegreedays,monthtodateheatingdegreedays,since1jancoolingdegreedays,year,snowdepthi,meanwindspdi,maxtempm,since1julsnowfallm,mon,minpressurem,meanpressurei,maxdewptm,since1sepcoolingdegreedays,snowfalli,minwspdi,heatingdegreedaysnormal,since1sepcoolingdegreedaysnormal,meantempm,minvisi,since1jancoolingdegreedaysnormal,precipsource,gdegreedays,since1julheatingdegreedays,meanwindspdm,thunder,meandewpti,since1sepheatingdegreedays,maxvism,maxvisi,monthtodatecoolingdegreedays,mindewpti,since1julheatingdegreedaysnormal,meantempi,maxpressurem,maxhumidity,date,meanwdird,meandewptm,coolingdegreedaysnormal,maxpressurei,monthtodateheatingdegreedaysnormal,maxwspdm,meanvisi,meanwdire,humidity,monthtodatesnowfalli,min,hail,mintempm,heatingdegreedays,precipm,tzname,since1julsnowfalli,hour,precipi,since1sepheatingdegreedaysnormal,mday,meanpressurem,minhumidity,minwspdm,minvism,meanvism,minpressurei,snowfallm,monthtodatesnowfallm,rain,snowdepthm,maxwspdi,monthtodatecoolingdegreedaysnormal,pretty,mindewptm,fog,maxdewpti,maxtempi,snow,tornado,mintempi
0,12,0,2012,,18,14,0.00,04,1019,30.24,8,,0.00,8,9,,12,10,1,,2,2280,29,0,39,,16,10,0,35,2129,53,1026,77,"{'tzname': 'America/Los_Angeles', 'mday': '01', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM PDT on April 01, 2012'}",287,4,0,30.30,9,47,10,,,,00,0,9,12,0.25,America/Los_Angeles,0.00,12,0.01,,01,1024,50,13,16,16,30.08,0.00,,1,,29,0,"12:00 PM PDT on April 01, 2012",2,0,46,57,0,0,48
0,23,0,2012,,10,17,0.00,04,1019,30.17,7,,0.00,0,9,,12,10,1,,4,2291,16,0,42,,16,10,0,40,2138,54,1025,82,"{'tzname': 'America/Los_Angeles', 'mday': '02', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM PDT on April 02, 2012'}",279,6,0,30.27,18,45,10,,,0.00,00,0,7,11,0.00,America/Los_Angeles,0.00,12,0.00,,02,1022,46,0,16,16,30.09,0.00,0.00,0,,28,0,"12:00 PM PDT on April 02, 2012",4,0,45,63,0,0,45
0,31,0,2012,,11,18,0.00,04,1017,30.08,10,,0.00,5,9,,14,3,1,,6,2299,17,0,45,,16,10,0,42,2147,57,1021,89,"{'tzname': 'America/Los_Angeles', 'mday': '03', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM PDT on April 03, 2012'}",274,7,0,30.14,27,47,10,,,0.00,00,0,9,8,0.76,America/Los_Angeles,0.00,12,0.03,,03,1019,48,8,5,15,30.03,0.00,0.00,1,,29,0,"12:00 PM PDT on April 03, 2012",6,0,50,64,0,0,49
0,44,0,2012,,17,14,0.00,04,1021,30.18,6,,0.00,5,9,,11,10,1,,2,2312,27,0,38,,16,10,0,32,2156,52,1024,77,"{'tzname': 'America/Los_Angeles', 'mday': '04', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM PDT on April 04, 2012'}",292,3,0,30.23,36,60,10,,,0.00,00,0,8,13,0.00,America/Los_Angeles,0.00,12,0.00,,04,1022,39,8,16,16,30.15,0.00,0.00,0,,37,0,"12:00 PM PDT on April 04, 2012",0,0,42,57,0,0,46
0,59,0,2012,,19,13,0.00,04,1020,30.16,3,,0.00,7,9,,10,10,1,,0,2327,30,0,34,,16,10,0,31,2165,50,1023,71,"{'tzname': 'America/Los_Angeles', 'mday': '05', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM PDT on April 05, 2012'}",285,1,0,30.21,45,58,10,,,0.00,00,0,7,15,0.00,America/Los_Angeles,0.00,12,0.00,,05,1021,46,11,16,16,30.13,0.00,0.00,0,,36,0,"12:00 PM PDT on April 05, 2012",-1,0,37,55,0,0,44
0,74,0,2012,,11,14,0.00,04,1022,30.24,3,,0.00,0,9,,10,10,1,,0,2342,17,0,36,,16,10,0,33,2174,50,1026,71,"{'tzname': 'America/Los_Angeles', 'mday': '06', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM PDT on April 06, 2012'}",289,2,0,30.30,54,34,10,,,0.00,00,0,6,15,0.00,America/Los_Angeles,0.00,12,0.00,,06,1024,47,0,16,16,30.18,0.00,0.00,0,,21,0,"12:00 PM PDT on April 06, 2012",1,0,38,57,0,0,43
0,86,0,2012,,8,18,0.00,04,1017,30.11,6,,0.00,0,9,,12,10,1,,3,2354,12,0,38,,16,10,0,33,2183,53,1022,76,"{'tzname': 'America/Los_Angeles', 'mday': '07', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM PDT on April 07, 2012'}",294,3,0,30.19,63,26,10,,,0.00,00,0,5,12,0.00,America/Los_Angeles,0.00,12,0.00,,07,1020,31,0,16,16,30.04,0.00,0.00,0,,16,0,"12:00 PM PDT on April 07, 2012",1,0,42,64,0,0,41
0,97,0,2012,,8,18,0.00,04,1016,30.06,7,,0.00,0,9,,12,10,1,,3,2365,13,0,39,,16,10,0,33,2192,54,1019,83,"{'tzname': 'America/Los_Angeles', 'mday': '08', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM PDT on April 08, 2012'}",274,4,0,30.09,72,40,10,,,0.00,00,0,6,11,0.00,America/Los_Angeles,0.00,12,0.00,,08,1018,39,0,16,16,30.02,0.00,0.00,0,,25,0,"12:00 PM PDT on April 08, 2012",1,0,44,64,0,0,43
0,106,0,2012,,8,18,0.00,04,1010,29.94,7,,0.00,0,9,,13,10,1,,5,2374,12,0,42,,16,10,0,37,2201,56,1017,82,"{'tzname': 'America/Los_Angeles', 'mday': '09', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM PDT on April 09, 2012'}",148,6,0,30.03,81,42,10,,,0.00,00,0,8,9,0.00,America/Los_Angeles,0.00,12,0.00,,09,1014,39,0,16,16,29.84,0.00,0.00,0,,26,0,"12:00 PM PDT on April 09, 2012",3,0,45,65,0,0,47
0,116,0,2012,,7,14,0.00,04,1010,29.87,10,,0.00,0,9,,13,2,1,,4,2384,11,0,48,,16,10,0,41,2210,55,1012,89,"{'tzname': 'America/Los_Angeles', 'mday': '10', 'hour': '12', 'mon': '04', 'year': '2012', 'min': '00', 'pretty': '12:00 PM PDT on April 10, 2012'}",171,9,0,29.90,90,24,8,,,0.00,00,0,11,10,10.41,America/Los_Angeles,0.00,12,0.41,,10,1011,62,0,3,13,29.83,0.00,0.00,1,,15,0,"12:00 PM PDT on April 10, 2012",5,0,50,57,0,0,52
