Word,Rank,Frequency
agreement,1,1930
ge,2,1136
letter,3,870
contract,4,753
turbine,5,635
call,6,556
purchase,7,508
option,8,493
conference,9,490
ca,10,473
abb,11,443
revised,12,433
meeting,13,427
enron,14,406
documents,15,387
change,16,380
energy,17,374
vepco,18,369
development,19,364
agreements,20,329
order,21,309
form,22,308
city,23,300
facility,24,269
draft,25,260
assignment,26,259
enovate,27,254
blue,28,243
power,29,243
ena,30,236
dog,31,221
delta,32,211
llc,33,208
mdea,34,202
project,35,200
westinghouse,36,198
austin,37,192
exhibits,38,183
escrow,39,183
salmon,40,182
loi,41,181
northwestern,42,169
consent,43,168
legal,44,166
comments,45,154
new,46,153
gas,47,151
closing,48,146
co,49,140
stuff,50,139
ii,51,139
status,52,127
sale,53,127
land,54,126
language,55,126
midway,56,125
sheet,57,121
services,58,119
epc,59,118
fountain,60,116
transformer,61,116
edgecombe,62,115
list,63,114
term,64,110
override,65,110
breakout,66,108
schedule,67,106
op,68,106
management,69,105
lm,70,104
update,71,104
final,72,103
weekly,73,103
docs,74,103
attached,75,102
lv,76,101
esa,77,100
issues,78,100
michael,79,100
version,80,99
master,81,98
transaction,82,97
ppa,83,92
fuelcell,84,91
risk,85,91
world,86,90
turbines,87,90
rev,88,89
request,89,88
review,90,86
interconnection,91,85
contracts,92,85
changes,93,83
vegas,94,83
cogen,95,82
crra,96,82
asset,97,82
south,98,81
next,99,81
america,100,80
files,101,80
confidentiality,102,77
hunger,103,76
peoples,104,76
valley,105,76
pseg,106,75
opinion,107,75
turbopark,108,74
cpcn,109,73
interconnect,110,71
pegasus,111,71
illinois,112,70
presentation,113,70
signature,114,70
fuel,115,70
site,116,69
document,117,69
vitro,118,68
phone,119,68
execution,120,68
invoice,121,67
lunch,122,66
nrg,123,66
invitation,124,65
need,125,65
notice,126,65
proposed,127,64
regarding,128,64
today,129,62
nw,130,62
palacios,131,62
payment,132,62
information,133,62
las,134,60
contact,135,60
intergen,136,60
credit,137,59
livingston,138,59
agency,139,58
projects,140,58
ltr,141,58
york,142,57
policy,143,57
mann,144,57
checklist,145,57
clarksdale,146,56
county,147,56
westlb,148,55
assumption,149,55
tickets,150,55
exclusivity,151,54
deerfield,152,54
certificate,153,54
comparison,154,54
generation,155,53
coral,156,53
question,157,53
please,158,53
friday,159,52
pm,160,51
manlove,161,51
standard,162,50
fehr,163,50
ledford,164,49
panda,165,49
letters,166,49
generator,167,49
hub,168,48
engagement,169,48
spa,170,47
confidentiaility,171,47
cogeneration,172,47
coop,173,47
transfer,174,47
incumbency,175,46
points,176,46
kay,177,45
electrobolt,178,45
bill,179,44
tripp,180,44
first,181,44
scott,182,44
memo,183,43
birthday,184,43
organizational,185,43
prototype,186,43
tax,187,42
redline,188,42
cell,189,42
number,190,41
opportunities,191,41
authority,192,41
orders,193,40
important,194,40
astros,195,40
amendment,196,40
staff,197,40
plant,198,39
intent,199,39
accounting,200,39
info,201,39
wholesale,202,39
meh,203,39
montana,204,39
proceeding,205,38
lake,206,38
items,207,38
swpc,208,38
finance,209,38
financing,210,37
kendall,211,37
business,212,37
terms,213,37
one,214,37
resort,215,37
note,216,36
dinner,217,36
capacity,218,36
rodeo,219,36
teco,220,36
fcel,221,36
houston,222,36
sales,223,35
weekend,224,35
agmt,225,35
guarantees,226,35
public,227,35
instruction,228,35
long,229,35
hi,230,35
open,231,34
team,232,34
news,233,34
help,234,34
equipment,235,34
beach,236,34
extension,237,34
exercise,238,34
revisions,239,33
revision,240,33
officers,241,33
vacation,242,33
committee,243,33
original,244,32
midwest,245,32
confidential,246,32
iss,247,32
clause,248,32
roundtable,249,32
lawyer,250,31
wednesday,251,31
thursday,252,31
department,253,31
time,254,31
nimo,255,31
center,256,31
distribution,257,31
memorandum,258,31
scheduling,259,31
proposal,260,31
check,261,31
calling,262,30
acknowledgement,263,30
allocations,264,30
damaged,265,30
email,266,30
lol,267,30
get,268,30
genpower,269,30
caed,270,30
break,271,29
pompano,272,29
fax,273,29
office,274,29
kayak,275,29
acquisition,276,29
north,277,29
copy,278,29
cost,279,29
marketing,280,29
last,281,29
announcement,282,29
questions,283,29
termination,284,28
resolutions,285,28
ameresco,286,28
reminder,287,28
florida,288,28
good,289,28
gleason,290,28
pontiac,291,28
another,292,28
june,293,28
onondaga,294,28
privileged,295,28
carlos,296,28
counsel,297,28
go,298,27
resume,299,27
dash,300,27
indemnity,301,27
name,302,27
compared,303,27
mississippi,304,27
options,305,27
sel,306,27
domestic,307,27
scope,308,27
mount,309,27
enclosing,310,27
virginia,311,27
bruce,312,26
hou,313,26
brown,314,26
filing,315,26
pastoria,316,26
transformers,317,26
week,318,26
numbers,319,25
consents,320,25
blackline,321,25
gen,322,25
ag,323,25
report,324,25
section,325,25
exhibit,326,25
agreemen,327,25
easement,328,24
monetization,329,24
disbursement,330,24
work,331,24
pr,332,24
oject,333,24
ticketed,334,24
monday,335,24
lease,336,24
issue,337,24
address,338,24
appointments,339,24
welcome,340,24
consulting,341,24
fpl,342,24
intervention,343,24
coal,344,24
certain,345,24
class,346,24
parking,347,24
bullet,348,23
party,349,23
references,350,23
urgent,351,23
guarantee,352,23
feb,353,23
property,354,23
consolidation,355,23
specific,356,23
loan,357,23
performance,358,23
price,359,23
king,360,23
rocky,361,23
consignment,362,23
doc,363,23
nyc,364,22
powerpoint,365,22
delivery,366,22
entities,367,22
travel,368,22
meetings,369,22
approval,370,22
file,371,22
know,372,22
springs,373,22
silvers,374,22
deal,375,22
bag,376,22
training,377,21
assets,378,21
schedules,379,21
date,380,21
summary,381,21
notices,382,21
day,383,21
strawn,384,21
construction,385,21
coyote,386,21
amended,387,21
johnson,388,21
winston,389,21
petition,390,21
electronic,391,21
read,392,21
psco,393,21
newark,394,21
hsr,395,21
tomorrow,396,20
bpub,397,20
law,398,20
structured,399,20
lb,400,20
clean,401,20
liability,402,20
agrement,403,20
yazoo,404,20
west,405,20
happy,406,20
pierce,407,20
ews,408,20
favor,409,20
model,410,20
needed,411,20
morning,412,20
availability,413,20
generic,414,20
forms,415,20
load,416,20
plano,417,20
backup,418,20
jacoby,419,20
supply,420,19
sites,421,19
schaeffer,422,19
real,423,19
hearing,424,19
confirmation,425,19
redlined,426,19
follow,427,19
lc,428,19
isda,429,19
deals,430,19
company,431,19
march,432,19
retirement,433,19
location,434,19
siemens,435,19
seminole,436,19
hotel,437,19
templates,438,19
wheeling,439,19
may,440,19
gift,441,19
april,442,19
invoices,443,19
amendments,444,18
arbitration,445,18
electric,446,18
lee,447,18
annexation,448,18
escalade,449,18
mou,450,18
christmas,451,18
additional,452,18
john,453,18
plus,454,18
resignations,455,18
yet,456,18
carolina,457,18
disclosure,458,18
guaranty,459,18
marked,460,17
ben,461,17
outline,462,17
due,463,17
close,464,17
tolling,465,17
found,466,17
negotiations,467,17
yorkville,468,17
discuss,469,17
psa,470,17
dc,471,17
quick,472,17
weight,473,17
flight,474,17
watchers,475,17
data,476,17
calls,477,17
definitions,478,16
cells,479,16
little,480,16
citibank,481,16
david,482,16
georgia,483,16
thoughts,484,16
us,485,16
balance,486,16
website,487,16
etc,488,16
end,489,16
cec,490,16
certificates,491,16
insertion,492,16
cingular,493,16
serial,494,16
chicago,495,16
matching,496,16
merchant,497,16
oc,498,16
application,499,16
ucc,500,16
ferc,501,16
trutta,502,16
commercial,503,16
cst,504,16
interests,505,16
deducting,506,16
marshall,507,16
response,508,15
dual,509,15
kathleen,510,15
plans,511,15
sent,512,15
wire,513,15
pittsburgh,514,15
saturday,515,15
dick,516,15
blacklined,517,15
waiver,518,15
think,519,15
bravo,520,15
agmnts,521,15
electricity,522,15
aip,523,15
kidventure,524,15
account,525,15
days,526,15
westfahl,527,15
revolver,528,15
discussions,529,15
elektrobolt,530,15
ncng,531,15
per,532,15
message,533,14
back,534,14
trip,535,14
plan,536,14
claims,537,14
francis,538,14
curves,539,14
warranty,540,14
optimization,541,14
yahoo,542,14
testimony,543,14
outside,544,13
comment,545,13
purposes,546,13
dates,547,13
holdings,548,13
eecc,549,13
park,550,13
sunday,551,13
origination,552,13
documentation,553,13
fee,554,13
fyi,555,13
b,556,13
reflect,557,13
spalding,558,13
al,559,13
certosa,560,13
eb,561,13
authorization,562,13
et,563,13
split,564,13
east,565,13
recent,566,13
sawgrass,567,13
njr,568,13
c,569,13
entouch,570,12
working,571,12
sept,572,12
save,573,12
funding,574,12
joint,575,12
yes,576,12
oct,577,12
latest,578,12
dec,579,12
membership,580,12
negotiation,581,12
prepare,582,12
century,583,12
arctic,584,12
rm,585,12
lucie,586,12
richmond,587,12
confusing,588,12
preliminary,589,12
sell,590,12
rockets,591,12
mitsubishi,592,12
internal,593,12
camp,594,12
structure,595,12
diligence,596,12
signing,597,12
qse,598,12
san,599,12
rescheduled,600,12
caii,601,12
antonio,602,12
discussed,603,12
details,604,12
withholding,605,12
daed,606,12
versions,607,12
reseller,608,12
corrected,609,12
fees,610,12
storage,611,12
type,612,12
signatures,613,12
service,614,12
page,615,12
glossary,616,12
hello,617,12
storm,618,12
na,619,11
celebration,620,11
game,621,11
going,622,11
looking,623,11
missing,624,11
addresses,625,11
sheila,626,11
want,627,11
fce,628,11
rebuttal,629,11
w,630,11
pages,631,11
thought,632,11
fuelcells,633,11
look,634,11
wrap,635,11
drafts,636,11
timing,637,11
csfb,638,11
representation,639,11
lvcii,640,11
blood,641,11
mcs,642,11
disregard,643,11
affiliate,644,11
ozzie,645,11
american,646,11
shaeffer,647,11
broward,648,11
second,649,11
signs,650,11
reimbursement,651,11
pager,652,11
requested,653,11
cash,654,11
paul,655,11
